DATE,X,Y,AREA
2024-03-14 17:10:20,434.1012658227848,954.5189873417721,9.9
2024-03-14 17:50:20,431.9807692307692,955.0576923076923,6.5
2024-03-15 09:57:28,430.2844827586207,971.8103448275862,14.6
2024-03-15 13:27:07,434.0983606557377,979.6065573770492,7.7
2024-03-15 14:07:07,420.15277777777777,976.6111111111111,9.0
2024-03-16 11:43:29,412.4117647058824,1004.5411764705882,10.7
2024-03-16 13:03:29,407.6273764258555,1010.5652724968314,99.1
2024-03-16 13:43:29,418.2086330935252,1005.3669064748201,17.5
2024-03-16 14:23:29,412.9076923076923,1003.7538461538461,8.2
2024-03-16 15:03:29,415.0,1005.390243902439,10.3
2024-03-16 15:43:29,410.88495575221236,1005.9380530973451,14.2
2024-03-16 16:23:29,416.3958333333333,1004.6979166666666,12.1
2024-03-16 17:03:29,410.8048780487805,1006.7560975609756,10.3
2024-03-16 17:43:29,416.44444444444446,1008.3148148148148,13.6
2024-03-16 18:23:29,409.22131147540983,1007.1475409836065,15.3
2024-03-17 13:20:12,409.3095238095238,1016.8095238095239,21.1
2024-03-17 14:00:12,406.92,1018.288,15.7
2024-03-17 15:20:12,404.02054794520546,1018.9794520547945,18.3
2024-03-17 16:00:12,396.31724137931036,1024.7425287356323,54.6
2024-03-17 16:40:12,404.344,1014.856,15.7
2024-03-18 08:08:55,391.56410256410254,1049.423076923077,9.8
2024-03-18 08:48:55,390.5,1049.3666666666666,11.3
2024-03-18 09:28:55,392.97087378640776,1051.1359223300972,12.9
2024-03-18 10:48:55,390.05825242718447,1051.6893203883494,12.9
2024-03-18 12:08:55,385.08396946564886,1052.2137404580153,16.5
2024-03-18 12:48:55,386.531914893617,1055.9787234042553,11.8
