DATE,X,Y,AREA
2024-03-14 09:50:20,2321.5210843373493,186.01957831325302,83.4
2024-03-14 10:30:20,2307.0249632892805,188.48898678414096,85.5
2024-03-14 11:10:20,2297.755859375,196.541015625,64.3
2024-03-14 11:50:20,2302.328275862069,196.0744827586207,91.0
2024-03-14 12:30:20,2325.6499133448874,199.21317157712306,72.5
2024-03-14 13:10:20,2313.550505050505,217.86868686868686,24.9
2024-03-14 13:50:20,2304.7179487179487,230.35612535612535,44.1
2024-03-14 14:30:20,2303.686868686869,227.82154882154882,37.3
2024-03-14 15:10:20,2302.2146017699115,233.21902654867256,56.8
2024-03-15 08:37:28,2320.7442326980945,224.55165496489468,125.2
2024-03-15 09:17:28,2324.4960707269156,232.01178781925344,127.8
2024-03-15 09:57:28,2324.265838509317,228.48198757763976,101.1
2024-03-15 10:37:28,2312.645226130653,233.02713567839197,125.0
2024-03-15 11:17:28,2307.2546296296296,253.41203703703704,108.5
2024-03-15 11:57:28,2323.47409733124,271.5117739403454,80.0
2024-03-15 12:47:07,2333.415829145729,276.9170854271357,100.0
2024-03-15 13:27:07,2311.895591647332,268.6044083526682,108.3
2024-03-15 14:07:07,2291.530172413793,270.39331896551727,116.5
2024-03-15 14:47:07,2294.698113207547,279.1910377358491,53.2
2024-03-15 15:27:07,2302.3113964687,293.47030497592294,78.2
